序号,姓名,性别,生日,年龄,班级
1,张明,男,2007-08-15,18,软件工程1班
2,李华,女,2007-09-20,17,软件工程1班
3,王芳,女,2007-07-03,18,软件工程1班
4,刘强,男,2007-06-12,18,软件工程1班
5,陈静,女,2007-10-25,17,软件工程1班
6,杨帆,男,2007-05-08,18,软件工程1班
7,赵丽,女,2007-04-18,18,软件工程1班
8,黄磊,男,2007-11-30,17,软件工程1班
9,周婷,女,2007-03-22,18,软件工程1班
10,吴军,男,2007-12-05,17,软件工程1班
11,徐磊,男,2007-02-14,18,软件工程1班
12,孙琳,女,2007-01-28,18,软件工程1班
13,马超,男,2007-08-09,18,软件工程1班
14,朱敏,女,2007-09-17,17,软件工程1班
15,胡斌,男,2007-07-21,18,软件工程1班
16,郭婷,女,2007-06-05,18,软件工程1班
17,何宇,男,2007-10-11,17,软件工程1班
18,高静,女,2007-05-23,18,软件工程1班
19,林峰,男,2007-04-16,18,软件工程1班
20,罗丹,女,2007-03-09,18,软件工程1班
21,郑浩,男,2007-02-27,18,软件工程2班
22,谢丽,女,2007-01-15,18,软件工程2班
23,韩宇,男,2007-08-03,18,软件工程2班
24,唐敏,女,2007-09-19,17,软件工程2班
25,冯涛,男,2007-06-22,18,软件工程2班
26,邓婷,女,2007-07-14,18,软件工程2班
27,曹磊,男,2007-10-06,17,软件工程2班
28,彭静,女,2007-05-19,18,软件工程2班
29,董超,男,2007-04-08,18,软件工程2班
30,袁琳,女,2007-03-25,18,软件工程2班
31,潘宇,男,2007-02-11,18,软件工程2班
32,蒋敏,女,2007-01-30,18,软件工程2班
33,蔡斌,男,2007-08-28,17,软件工程2班
34,余婷,女,2007-09-05,17,软件工程2班
35,叶浩,男,2007-06-17,18,软件工程2班
36,程丽,女,2007-07-09,18,软件工程2班
37,苏磊,男,2007-10-22,17,软件工程2班
38,魏静,女,2007-05-15,18,软件工程2班
39,吕宇,男,2007-04-03,18,软件工程2班
40,丁敏,女,2007-03-18,18,软件工程2班
41,沈浩,男,2007-02-09,18,软件工程3班
42,姚丽,女,2007-01-21,18,软件工程3班
43,卢斌,男,2007-08-12,18,软件工程3班
44,毛婷,女,2007-09-24,17,软件工程3班
45,唐诗,女,2007-06-28,18,软件工程3班
46,金磊,男,2007-07-16,18,软件工程3班
47,邱敏,女,2007-10-08,17,软件工程3班
48,秦宇,男,2007-05-27,18,软件工程3班
49,史丽,女,2007-04-19,18,软件工程3班
50,江浩,男,2007-03-13,18,软件工程3班
51,尹婷,女,2007-02-05,18,软件工程3班
52,韦斌,男,2007-01-18,18,软件工程3班
53,冯丽,女,2007-08-25,17,软件工程3班
54,任宇,男,2007-09-11,17,软件工程3班
55,雷静,女,2007-06-30,18,软件工程3班
56,龙磊,男,2007-07-23,18,软件工程3班
57,陈敏,女,2007-10-17,17,软件工程3班
58,胡宇,男,2007-05-11,18,软件工程3班
59,林丽,女,2007-04-25,18,软件工程3班
60,高浩,男,2007-03-07,18,软件工程3班
61,钟婷,女,2007-02-22,18,软件工程4班
62,汪磊,男,2007-01-09,18,软件工程4班
63,邱宇,男,2007-08-18,18,软件工程4班
64,庞丽,女,2007-09-15,17,软件工程4班
65,贺敏,女,2007-06-10,18,软件工程4班
66,唐斌,男,2007-07-27,18,软件工程4班
67,萧静,女,2007-10-13,17,软件工程4班
68,田宇,男,2007-05-21,18,软件工程4班
69,董丽,女,2007-04-14,18,软件工程4班
70,袁浩,男,2007-03-28,18,软件工程4班
71,潘婷,女,2007-02-16,18,软件工程4班
72,蒋磊,男,2007-01-04,18,软件工程4班
73,蔡丽,女,2007-08-07,17,软件工程4班
74,余宇,男,2007-09-28,17,软件工程4班
75,叶敏,女,2007-06-19,18,软件工程4班
76,程斌,男,2007-07-31,18,软件工程4班
77,苏静,女,2007-10-20,17,软件工程4班
78,魏宇,男,2007-05-05,18,软件工程4班
79,吕丽,女,2007-04-12,18,软件工程4班
80,丁磊,男,2007-03-01,18,软件工程4班
